# CAMEMBERT Initial Conditions for GJ1214b
# ----------------------------------------
# Pressure (in Pa), gas temperature (in K) and associated volume mixing ratios for the primary opacity sources. The profiles were generated
# using ATMO by Duncan Christie.
#
# Date Generated: 2022-06-01
#
     Pressure_Pa    Temperature_K           VMR_CO          VMR_CO2          VMR_H2O          VMR_CH4          VMR_NH3           VMR_H2           VMR_He
  5.15031072e+02   5.30587615e+02   7.18252546e-07   2.18889559e-09   9.07761968e-04   5.26861496e-04   7.87436796e-05   8.37954108e-01   1.60506063e-01
  6.53040198e+02   5.32139752e+02   7.18111252e-07   2.18848075e-09   9.07766314e-04   5.26741729e-04   7.87694322e-05   8.37952938e-01   1.60507335e-01
  8.28030624e+02   5.34193693e+02   7.17966273e-07   2.18805503e-09   9.07770795e-04   5.26619023e-04   7.87946974e-05   8.37951748e-01   1.60508630e-01
  1.04991196e+03   5.36650465e+02   7.17817363e-07   2.18761772e-09   9.07775418e-04   5.26493195e-04   7.88195200e-05   8.37950535e-01   1.60509951e-01
  1.33124922e+03   5.39632245e+02   7.17664250e-07   2.18716797e-09   9.07780189e-04   5.26364040e-04   7.88439439e-05   8.37949298e-01   1.60511300e-01
  1.68797438e+03   5.43871505e+02   7.17506379e-07   2.18670417e-09   9.07785123e-04   5.26231119e-04   7.88680506e-05   8.37948033e-01   1.60512680e-01
  2.14028859e+03   5.48863093e+02   7.17343137e-07   2.18622447e-09   9.07790239e-04   5.26093945e-04   7.88919204e-05   8.37946737e-01   1.60514096e-01
  2.71380614e+03   5.55059006e+02   7.17173853e-07   2.18572689e-09   9.07795557e-04   5.25951988e-04   7.89156298e-05   8.37945404e-01   1.60515553e-01
  3.44100501e+03   5.63760010e+02   7.16997235e-07   2.18520760e-09   9.07801116e-04   5.25804201e-04   7.89393270e-05   8.37944025e-01   1.60517061e-01
  4.36306606e+03   5.74226440e+02   7.16811780e-07   2.18466213e-09   9.07806962e-04   5.25649375e-04   7.89631661e-05   8.37942590e-01   1.60518633e-01
  5.53220510e+03   5.87797899e+02   7.16615584e-07   2.18408480e-09   9.07813155e-04   5.25485971e-04   7.89873255e-05   8.37941085e-01   1.60520282e-01
  7.01462982e+03   6.05083952e+02   7.16405913e-07   2.18346739e-09   9.07819781e-04   5.25311785e-04   7.90120512e-05   8.37939491e-01   1.60522031e-01
  8.89428909e+03   6.24431572e+02   7.16180211e-07   2.18280199e-09   9.07826919e-04   5.25124775e-04   7.90375277e-05   8.37937791e-01   1.60523898e-01
  1.12776270e+04   6.46930754e+02   7.15935761e-07   2.18207966e-09   9.07834654e-04   5.24922799e-04   7.90639165e-05   8.37935966e-01   1.60525903e-01
  1.42996105e+04   6.72049100e+02   7.15669410e-07   2.18128835e-09   9.07843085e-04   5.24703379e-04   7.90913844e-05   8.37933997e-01   1.60528068e-01
  1.81313731e+04   6.99073152e+02   7.15378214e-07   2.18040945e-09   9.07852304e-04   5.24464242e-04   7.91200310e-05   8.37931865e-01   1.60530415e-01
