# CAMEMBERT Initial Conditions for K2-18b
# ---------------------------------------
# Pressure (in Pa), gas temperature (in K) and associated volume mixing ratios for the primary opacity sources. The profiles were generated
# using Exo-REM by Benjamin Charnay.
#
# Date Generated: 2022-06-01
#
     Pressure_Pa    Temperature_K           VMR_CO          VMR_CO2          VMR_H2O          VMR_CH4          VMR_NH3           VMR_H2           VMR_He
  1.12201845e+00   2.76145242e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  1.41253754e+00   2.84708221e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  1.77827941e+00   2.87315708e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  2.23872114e+00   2.88411722e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  2.81838293e+00   2.89064279e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  3.54813389e+00   2.89513401e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  4.46683592e+00   2.89743414e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  5.62341325e+00   2.89622155e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  7.07945784e+00   2.89129659e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  8.91250938e+00   2.88204215e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  1.12201845e+01   2.86799582e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  1.41253754e+01   2.85096482e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  1.77827941e+01   2.83023025e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  2.23872114e+01   2.80592836e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  2.81838293e+01   2.77753528e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  3.54813389e+01   2.74619633e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  4.46683592e+01   2.71297395e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  5.62341325e+01   2.67691064e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  7.07945784e+01   2.63761502e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  8.91250938e+01   2.59683799e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  1.12201845e+02   2.55742624e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  1.41253754e+02   2.52077969e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  1.77827941e+02   2.48672980e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  2.23872114e+02   2.45804215e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  2.81838293e+02   2.43781445e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  3.54813389e+02   2.42676632e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  4.46683592e+02   2.42485385e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  5.62341325e+02   2.43296770e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  7.07945784e+02   2.45071467e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  8.91250938e+02   2.47920596e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  1.12201845e+03   2.51855072e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  1.41253754e+03   2.56923308e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  1.77827941e+03   2.63150068e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  2.23872114e+03   2.70726666e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861936e-04     7.224074e-01     1.480742e-01
  2.81838293e+03   2.79823945e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861937e-04     7.224074e-01     1.480742e-01
  3.54813389e+03   2.90646027e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27861950e-04     7.224074e-01     1.480742e-01
  4.46683592e+03   3.03386693e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27862133e-04     7.224074e-01     1.480742e-01
  5.62341325e+03   3.18794888e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27865507e-04     7.224074e-01     1.480742e-01
  7.07945784e+03   3.37634795e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.27951817e-04     7.224074e-01     1.480742e-01
  8.91250938e+03   3.58794081e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.30101432e-04     7.224074e-01     1.480742e-01
  1.12201845e+04   3.81622800e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.35333934e-04     7.224074e-01     1.480742e-01
  1.41253754e+04   4.06171452e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.35333934e-04     7.224061e-01     1.480739e-01
  1.77827941e+04   4.32522250e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.35333934e-04     7.224017e-01     1.480730e-01
  2.23872114e+04   4.60747089e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.35333934e-04     7.223941e-01     1.480715e-01
  2.81838293e+04   4.90911308e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.35333934e-04     7.223941e-01     1.480715e-01
  3.54813389e+04   5.23073731e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.35333934e-04     7.223941e-01     1.480715e-01
  4.46683592e+04   5.57298167e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.35333934e-04     7.223941e-01     1.480715e-01
  5.62341325e+04   5.93668964e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.35333934e-04     7.223941e-01     1.480715e-01
  7.07945784e+04   6.32276339e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.35333934e-04     7.223941e-01     1.480714e-01
  8.91250938e+04   6.73213737e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.35333934e-04     7.223941e-01     1.480714e-01
  1.12201845e+05   7.16578520e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.35333934e-04     7.223942e-01     1.480714e-01
  1.41253754e+05   7.62471104e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.35333934e-04     7.223944e-01     1.480713e-01
  1.77827941e+05   8.10968675e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.35333934e-04     7.223946e-01     1.480712e-01
  2.23872114e+05   8.62100293e+02   4.17470374e-03   8.84252119e-04   5.67629320e-02   3.70765084e-02   8.35333934e-04     7.223947e-01     1.480710e-01
  2.81838293e+05   9.15747297e+02   4.32586375e-03   7.33092109e-04   5.69140921e-02   3.70765083e-02   8.35333934e-04     7.223944e-01     1.480709e-01
